"year","state","voteDem","dem"
1984,"NH",0.230769231915474,0.205128207802773
1986,"NH",0,0.333333343267441
1988,"NH",0.161290317773819,0.193548381328583
1990,"NH",0,0.183673471212387
1992,"NH",0.277777791023254,0.25
1994,"NH",0,0.133333340287209
1996,"NH",0.277777791023254,0.16666667163372
1998,"NH",0,0.25
2000,"NH",0.25,0.150000005960464
2002,"NH",0,0.0769230797886848
2004,"NH",0.307692319154739,0.307692319154739
1952,"NY",0.295081973075867,0
1956,"NY",0.273809522390366,0
1958,"NY",0,0
1960,"NY",0.453781515359879,0
1962,"NY",0,0
1964,"NY",0.616666674613953,0
1966,"NY",0,0
1968,"NY",0.294117659330368,0.302521020174026
1970,"NY",0,0
1972,"NY",0.25,0.386904776096344
1974,"NY",0,0.317647069692612
1976,"NY",0.292035400867462,0.407079637050629
1978,"NY",0,0.375796169042587
1980,"NY",0.239669427275658,0.380165278911591
1982,"NY",0,0.467532455921173
1984,"NY",0.216931223869324,0.343915343284607
1986,"NY",0,0.469387769699097
1988,"NY",0.346153855323792,0.391025632619858
1990,"NY",0,0.379746824502945
1992,"NY",0.295454531908035,0.346590906381607
1994,"NY",0,0.380434781312943
1996,"NY",0.494252860546112,0.482758611440659
1998,"NY",0,0.449438214302063
2000,"NY",0.365217387676239,0.417391300201416
2002,"NY",0,0.425531923770905
2004,"NY",0.360465109348297,0.302325576543808
2008,"NY",0.471544712781906,0.406504064798355
1952,"OH",0.304347813129425,0
1956,"OH",0.280000001192093,0
1958,"OH",0,0
1960,"OH",0.333333343267441,0
1962,"OH",0,0
1964,"OH",0.409999996423721,0
1966,"OH",0,0
1968,"OH",0.311827957630157,0.365591406822205
1970,"OH",0,0
1972,"OH",0.191860467195511,0.31395348906517
1974,"OH",0,0.345132738351822
1976,"OH",0.299212604761124,0.330708652734756
1978,"OH",0,0.393939405679703
1980,"OH",0.247422680258751,0.422680407762527
1982,"OH",0,0.290697664022446
1984,"OH",0.16494844853878,0.371134012937546
1986,"OH",0,0.304347813129425
1988,"OH",0.357142865657806,0.448979586362839
1990,"OH",0,0.409090906381607
1992,"OH",0.253164559602737,0.405063301324844
1994,"OH",0,0.410256415605545
1996,"OH",0.342105269432068,0.421052634716034
1998,"OH",0,0.395348846912384
2000,"OH",0.315068483352661,0.315068483352661
2002,"OH",0,0.296875
2004,"OH",0.393939405679703,0.272727280855179
2008,"OH",0.364705890417099,0.447058826684952
2000,"ND",0.428571432828903,0.28571429848671
2002,"ND",0,0.333333343267441
2008,"ND",0.179487183690071,0.102564103901386
1952,"FL",0.224999994039536,0
1956,"FL",0.31746032834053,0
1958,"FL",0,0
1960,"FL",0.20833332836628,0
1962,"FL",0,0
1964,"FL",0.270833343267441,0
1966,"FL",0,0
1968,"FL",0.215686276555061,0.490196079015732
1970,"FL",0,0
1972,"FL",0.207792207598686,0.467532455921173
1974,"FL",0,0.454545468091965
1976,"FL",0.217948719859123,0.294871807098389
1978,"FL",0,0.462962955236435
1980,"FL",0.171052634716034,0.342105269432068
1982,"FL",0,0.388888895511627
1984,"FL",0.0897435918450356,0.294871807098389
1986,"FL",0,0.561224460601807
1988,"FL",0.0877192988991737,0.385964900255203
1990,"FL",0,0.245901644229889
1992,"FL",0.237113401293755,0.309278339147568
1994,"FL",0,0.346938788890839
1996,"FL",0.333333343267441,0.488888889551163
1998,"FL",0,0.357142865657806
2000,"FL",0.260869562625885,0.27173912525177
2002,"FL",0,0.254237294197083
2004,"FL",0.16666667163372,0.20833332836628
2008,"FL",0.364161849021912,0.265895962715149
1952,"GA",0.22916667163372,0
1956,"GA",0.424242436885834,0
1958,"GA",0,0
1960,"GA",0.375,0
1962,"GA",0,0
1964,"GA",0.388888895511627,0
1966,"GA",0,0
1968,"GA",0.210526317358017,0.631578922271729
1970,"GA",0,0
1972,"GA",0.177777782082558,0.51111114025116
1974,"GA",0,0.547169804573059
1976,"GA",0.351851850748062,0.611111104488373
1978,"GA",0,0.5
1980,"GA",0.200000002980232,0.375
1982,"GA",0,0.564102590084076
1984,"GA",0.282608687877655,0.434782594442368
1986,"GA",0,0.436893194913864
1988,"GA",0.225806444883347,0.50537633895874
1990,"GA",0,0.478723406791687
1992,"GA",0.26618704199791,0.33093523979187
1994,"GA",0,0.337349385023117
1996,"GA",0.234567895531654,0.382716059684753
1998,"GA",0,0.484848499298096
2000,"GA",0.235294118523598,0.352941185235977
2002,"GA",0,0.266666680574417
2004,"GA",0.600000023841858,0.600000023841858
2008,"GA",0.371794879436493,0.346153855323792
1952,"MS",0.310344815254211,0
1956,"MS",0.190476194024086,0
1958,"MS",0,0
1960,"MS",0.214285716414452,0
1962,"MS",0,0
1964,"MS",0,0
1966,"MS",0,0
1968,"MS",0.210526317358017,0.631578922271729
1970,"MS",0,0
1972,"MS",0.0454545468091965,0.5
1974,"MS",0,0.5
1976,"MS",0.230769231915474,0.423076927661896
1978,"MS",0,0.375
1980,"MS",0.368421047925949,0.736842095851898
1982,"MS",0,0.60869562625885
1996,"MS",0,0
2000,"MS",0.25,0.5
2002,"MS",0,0.5
2008,"MS",0.492063492536545,0.555555582046509
1952,"TX",0.235955059528351,0
1956,"TX",0.238095238804817,0
1958,"TX",0,0
1960,"TX",0.476190477609634,0
1962,"TX",0,0
1964,"TX",0.416666656732559,0
1966,"TX",0,0
1968,"TX",0.355263143777847,0.657894730567932
1970,"TX",0,0
1972,"TX",0.239999994635582,0.600000023841858
1974,"TX",0,0.600000023841858
1976,"TX",0.309090912342072,0.545454561710358
1978,"TX",0,0.388157904148102
1980,"TX",0.299212604761124,0.535433053970337
1982,"TX",0,0.435897439718246
1984,"TX",0.235294118523598,0.379084974527359
1986,"TX",0,0.357615888118744
1988,"TX",0.307692319154739,0.391608387231827
1990,"TX",0,0.416666656732559
1992,"TX",0.279569894075394,0.381720423698425
1994,"TX",0,0.397260278463364
1996,"TX",0.360294103622437,0.375
1998,"TX",0,0.379310339689255
2000,"TX",0.204379558563232,0.350364953279495
2002,"TX",0,0.369369357824326
2004,"TX",0.321428567171097,0.273809522390366
2008,"TX",0.380821913480759,0.391780823469162
1972,"WV",0.111111111938953,0.422222226858139
1974,"WV",0,0.275862067937851
1976,"WV",0.200000002980232,0.466666668653488
1978,"WV",0,0.300000011920929
1980,"WV",0.15384615957737,0.384615391492844
1982,"WV",0,0.263157904148102
1984,"WV",0.25,0.576923072338104
1986,"WV",0,0.361111104488373
1988,"WV",0.300000011920929,0.5
1990,"WV",0,0.564102590084076
1992,"WV",0.315789461135864,0.526315808296204
1994,"WV",0,0.444444447755814
1996,"WV",0.25,0.416666656732559
2000,"WV",0.25,0.5
2002,"WV",0,0.333333343267441
1952,"CO",0.387096762657166,0
1956,"CO",0.259259253740311,0
